station_id,kge_M0,nse_M0,kge_r_M0,kge_alpha_M0,kge_beta_M0,n_days_M0,kge_M1,nse_M1,kge_r_M1,kge_alpha_M1,kge_beta_M1,n_days_M1,kge_era5_land,nse_era5_land,kge_r_era5_land,kge_alpha_era5_land,kge_beta_era5_land,n_days_era5_land
GRDCCaravan__1199310,0.5530998912676771,0.384707568838483,0.7821539677030286,1.2325384468225293,0.6866492633696314,1524,0.8008849258491365,0.7357843831031465,0.8822329722086402,1.0762084512387984,1.1413152924459227,1524,-0.6259902930999959,-5.010127216058678,0.13202969009069318,2.3741282238362382,1.0473666425664443,1524
GRDCCaravan__1199450,-0.1788225560734511,0.08102460500958597,0.6818922996837955,0.24349443248597769,0.15375568774297368,1126,0.6592547432090019,0.4785824146652773,0.7193897173482228,0.8975578571324092,0.8360768269574157,1126,-1.3711058678796815,-9.554085779501726,0.09516351564113684,3.1866437525253835,1.1483343278147717,1126
GRDCCaravan__1199460,-0.019851753487302837,0.30868394570466495,0.7702355932542787,0.4158069163610592,0.19624359566325159,1620,0.863949059119631,0.7458535254337855,0.869189240976758,0.9669685392654218,1.0175307284485549,1620,-0.11536949801028817,-1.6898285814567107,0.12762340279992834,1.4032741459070444,0.4339804305571318,1620
GRDC__1104800,0.019323292896773037,0.2844028194092286,0.7412412275253257,0.26377339491870705,0.40607989805639483,1607,0.4765792914684718,0.5539511163521246,0.7677284567467094,0.5960105762179491,0.7616479205321919,1607,-0.5221001077042271,-0.061587439448677284,0.19524705305848902,0.12112852184469142,0.05303307494544666,1607
GRDC__1234050,-0.4328884052368842,0.061436744370666485,0.6320642282178932,0.25497166591356746,2.167358227415133,548,-0.9821569117476938,-0.17280250605247804,0.6063674852745463,0.3727266722135408,2.8386211242090558,548,-0.22391364076015385,-0.11950805710228418,0.27527991986887695,0.5631947602881349,0.1157225616053673,548
GRDC__1259152,-0.258227307963675,-0.058635596407,0.5158075813861541,0.15536187360275114,0.2029553991786057,804,0.24306338634296243,0.37074429234755446,0.7599047169970157,0.32660368836530174,0.7513140541745784,804,-0.025682252798541638,-0.5471185369179019,0.450353658830179,1.178196335154694,1.8474426526213772,804
GRDC__1259170,0.07263546668392529,0.3468447715425891,0.8000565606059429,0.36512606875688036,0.35427351756047454,1036,0.35613531800327425,0.5383349983804733,0.8205963637354822,0.5020048166684314,0.6334255036198362,1036,0.4193598733272217,0.5065544046352904,0.7484034840839613,0.7560079699214636,0.5370636770141654,1036
GRDC__1259200,-0.2569854518268766,-0.031071548899052726,0.6575069494283994,0.19740305784788645,0.09526297474754956,709,0.3096771660973905,0.4172083804851424,0.7132564083999222,0.48695414637212836,0.6379120552146674,709,0.11417031655304333,0.0802705931323201,0.5196821117289482,0.7259542449165964,0.30798274703347167,709
GRDC__1259250,0.11525300334184818,0.37751016799224,0.7359093161349423,0.5096267294935778,0.3125646107712076,1139,0.5829528796160821,0.5828619266990114,0.7726929030920077,0.7411873583390626,0.7648919379683762,1139,-0.27528078165516723,-1.8355052868548571,0.41005933351939977,1.76597285187995,1.8316229147121523,1139
GRDC__1259260,0.14695951493868709,0.3468014410571436,0.6756452045222022,0.41184350916291496,0.47412551108615103,1212,0.44086983335377505,0.4713766864750736,0.7131030500794918,0.5205575046446467,1.0212503418225847,1212,0.3463059976692271,0.0383366930662159,0.4911959695920664,0.9149412864494114,1.401496354370729,1212
GRDC__1259320,-0.2655806079823151,0.0067075582714529736,0.6860921377556842,0.13863190962236246,0.1275315809719689,939,0.24645504504651372,0.3972218740109934,0.7653684565285666,0.3563284308577422,0.68620874929022,939,0.2083768836368366,-0.11004969498034733,0.3604184325763991,0.8086235813187217,1.4254146722260816,939
GRDC__1259500,-0.3271318525079143,-0.2862673058982934,0.5948830808241762,1.0927966148079076,2.2603761438629224,1276,0.3791456677523023,0.3592200910619987,0.6652978280224509,0.8198831165159343,1.4909098351308856,1276,-1.7835188668665132,-11.010187210705235,0.27076863377463956,3.5789273569483955,1.75188601815574,1276
