alpha,beta,tau,sharpness,val_corrected_kge,val_corrected_nse,val_negative_kge_stations,val_negative_nse_stations
0.8,0.8,0.4,0.2,0.7220960691992566,0.7326996281185992,0,0
0.4,0.4,0.4,0.2,0.721973835344806,0.7350722219748986,0,1
0.6,0.4,-0.2,0.05,0.7219187544166723,0.7349768320209439,0,1
0.4,0.2,0.0,0.35,0.721601097794818,0.7313184610066896,0,1
0.4,0.2,0.2,0.05,0.7214704256308319,0.7327866611931146,0,1
0.4,0.2,0.2,0.1,0.7214408940072271,0.732651516108566,0,1
0.8,0.8,0.0,0.35,0.721430608454483,0.7312922460526914,0,0
0.8,0.8,0.4,0.1,0.7214260480100652,0.7325729126483753,0,0
0.4,0.4,0.4,0.35,0.7214077759295563,0.7351925066343722,0,1
0.6,1.0,0.2,0.35,0.7213296997158516,0.7231904591817658,0,0
0.8,0.8,0.4,0.35,0.72126504196261,0.7319803374829906,0,0
0.4,0.2,0.2,0.2,0.7212552706720767,0.7321177729835896,0,1
0.8,0.8,0.4,0.05,0.721182084298808,0.7321518652784065,0,0
0.6,0.8,-0.2,0.1,0.7211192861138078,0.7261498519813557,0,0
0.6,1.0,0.4,0.2,0.7211159863822385,0.7246020709542886,0,0
0.6,0.4,-0.2,0.1,0.7210724311499994,0.7349709845103297,0,1
0.8,0.8,0.2,0.2,0.7210160289907572,0.7325627716836507,0,0
0.6,0.8,-0.2,0.35,0.7210048507397668,0.7261100062376229,0,0
0.6,0.8,-0.2,0.2,0.7209915760181524,0.7261202463355138,0,0
0.6,0.8,-0.2,0.05,0.7209467485771749,0.7261491945665269,0,0
0.8,0.8,-0.2,0.35,0.720853717304019,0.7304857691641807,0,0
0.4,0.2,0.2,0.35,0.7207024248637047,0.731353694125402,0,1
0.6,0.4,-0.2,0.2,0.7204957279718923,0.7349410914373098,0,1
0.4,0.2,0.4,0.1,0.7204877396044171,0.732161945131604,0,1
0.4,0.2,0.4,0.05,0.7204834473681438,0.7321774153010753,0,1
0.8,0.8,0.2,0.1,0.7204363488560246,0.7329438653212662,0,0
0.8,0.8,0.2,0.05,0.7203163166190554,0.7329896044888891,0,0
0.8,0.8,0.0,0.2,0.7203136908460378,0.731912436682797,0,0
0.6,1.0,0.4,0.1,0.7202774398483247,0.7244626447845124,0,0
0.4,0.2,0.4,0.2,0.7202506623755511,0.7318615829559538,0,1
0.6,0.4,-0.2,0.35,0.7201108179659671,0.7349101231973452,0,1
0.6,1.0,0.4,0.05,0.7199770837962081,0.7239228488012035,0,0
0.4,1.0,0.4,0.35,0.7199670323864853,0.7217745409960528,0,0
0.8,0.8,-0.2,0.2,0.7199102748835517,0.73053075665367,0,0
0.4,0.8,0.0,0.05,0.7198416772979925,0.7266114072590635,0,0
0.8,0.8,0.0,0.1,0.7198242682313705,0.7327324491409719,0,0
0.4,0.4,0.2,0.05,0.719810765914792,0.7352129190162613,0,1
0.4,0.4,0.2,0.1,0.7198011511525297,0.7352216784444066,0,1
0.6,1.0,0.2,0.2,0.7197874523346277,0.7242760017773804,0,0
0.8,0.8,0.0,0.05,0.7197214729086447,0.7333990582176944,0,0
0.4,0.2,0.4,0.35,0.7196424484836141,0.73117493231196,0,1
0.4,0.4,0.2,0.2,0.7195941558659452,0.7352320142050757,0,1
0.8,0.8,-0.4,0.35,0.7195568475926026,0.729517192103598,0,0
0.8,0.8,-0.2,0.1,0.7194672554262067,0.730405894567332,0,0
0.8,0.8,-0.2,0.05,0.7193319032298775,0.7301363304556581,0,0
0.4,0.8,0.2,0.2,0.7192952475021512,0.7263161577857509,0,0
0.4,0.4,0.2,0.35,0.719190291701328,0.7352858801659801,0,1
1.0,0.4,-0.2,0.1,0.7190959703024871,0.7363042033453081,0,1
1.0,0.4,-0.2,0.05,0.7190863140259078,0.7364890176315853,0,1
0.6,1.0,0.2,0.1,0.7190620801871886,0.7248157353522218,0,0
1.0,0.4,-0.4,0.35,0.7189250970360841,0.734892614025348,0,1
0.6,1.0,0.2,0.05,0.718913694533666,0.7248637400803872,0,0
0.6,1.0,0.0,0.2,0.7189040981128353,0.7231770940117549,0,0
1.0,0.4,-0.2,0.2,0.7188157667817983,0.7357741566315786,0,1
0.4,1.0,0.4,0.05,0.718476791905034,0.7210991423484527,0,0
0.6,0.2,-0.4,0.05,0.7183860190788434,0.7337123791503587,0,1
0.4,1.0,0.4,0.2,0.71833387304624,0.7213828589707202,0,0
0.6,0.2,-0.4,0.1,0.7183202751605835,0.73365469692295,0,1
0.6,1.0,0.0,0.1,0.7182932852773715,0.7243249977757819,0,0
1.0,0.4,-0.4,0.2,0.7181907075676963,0.7353811052061747,0,1
0.6,1.0,0.0,0.05,0.7181669882496271,0.7252045982904107,0,0
0.6,0.2,-0.4,0.2,0.7181668011273197,0.7334985025613521,0,1
1.0,0.4,-0.2,0.35,0.7179795130950415,0.7350321203179422,0,1
1.0,0.4,-0.4,0.1,0.717882072537753,0.7356780639310718,0,1
1.0,0.4,-0.4,0.05,0.7178290491699577,0.7357871221959658,0,1
1.0,0.4,0.0,0.05,0.7177987997329375,0.7364795079782618,0,1
0.6,0.2,-0.4,0.35,0.7177775981573692,0.733242153394797,0,1
0.6,0.2,-0.2,0.1,0.7177223847583165,0.7339609058463286,0,1
0.6,0.2,-0.2,0.05,0.7177212346651552,0.7340584842211935,0,1
